author_username,avg_play_count,avg_engagement,avg_likes,avg_shares,avg_comments,avg_hashtags,avg_duration,avg_posting_hour,video_count,category,tier
borazone,23497.109090909093,0.012985412121212122,207.9030303030303,30.933333333333334,3.4909090909090907,6.775757575757575,33.2,12.648484848484848,165,travel,2
borsam27,4086.5539906103286,0.015337353615023471,38.47417840375587,0.9843505477308294,3.8466353677621283,5.264475743348982,56.508607198748045,14.96870109546166,639,business_finance,1
brooyuncuu,113037.78197674418,0.03449636316860464,2177.6831395348836,11.023255813953488,13.712209302325581,8.549418604651162,30.24127906976744,12.726744186046512,344,gaming,2
brsbaylans,18686.906542056076,0.024376037383177573,359.2897196261682,35.38317757009346,13.94392523364486,0.037383177570093455,22.1588785046729,9.476635514018692,107,fitness_health,2
brscbc,58533.58204334365,0.015298721331269348,547.1083591331269,73.84520123839009,55.55727554179567,4.015479876160991,80.02786377708978,11.659442724458204,323,business_finance,2
burc.ico,479208.54347826086,0.017665978260869564,7691.576086956522,200.90217391304347,53.28260869565217,0.0,62.58695652173913,11.054347826086957,92,entertainment,2
busezeynep,4441755.353319058,0.03617789507494647,153961.04282655247,9551.726980728052,716.9646680942184,4.356531049250536,58.84261241970022,15.37152034261242,934,food_beverage,0
busrakendirlioglu,297153.61914460285,0.028011523421588594,11138.281059063136,579.2464358452138,52.63747454175153,0.7983706720977597,33.0183299389002,14.022403258655805,491,lifestyle,1
byt_matematik,8467.583333333334,0.029672428571428572,218.70238095238096,20.666666666666668,6.071428571428571,4.940476190476191,119.07142857142857,14.571428571428571,84,education,2
cabbarhale,289039.3939393939,0.04389246193181817,14532.121212121212,616.9583333333334,46.56439393939394,3.268939393939394,23.90530303030303,17.068181818181817,264,lifestyle,1
cansutarimm,1166618.6203208556,0.033725342192513365,23897.68983957219,1830.572192513369,207.7058823529412,0.7433155080213903,42.411764705882355,12.449197860962567,187,entertainment,1
cemkurttekin,468576.67844522966,0.05940325413427559,27732.0,3580.0671378091874,118.773851590106,0.01060070671378092,22.830388692579504,14.823321554770319,283,fitness_health,1
chabyh,2505000.0,0.060624207916666645,107608.5,2800.125,803.3333333333334,0.5416666666666666,44.083333333333336,14.375,24,entertainment,0
cihatecicek,161549.4477124183,0.015260245098039214,1730.8300653594772,292.7156862745098,56.64705882352941,16.61111111111111,135.34640522875816,14.133986928104575,306,business_finance,2
cisileyup,442092.01086956525,0.05225899978260869,23115.195652173912,3022.195652173913,82.43478260869566,3.630434782608696,39.90217391304348,14.5,92,entertainment,1
corafurkann,196750.23346303502,0.04429394150453955,4449.015564202335,284.57587548638134,30.819714656290532,0.17250324254215305,21.35538261997406,14.680933852140077,771,fashion_beauty,1
danlabilic,2925079.207920792,0.02895283168316832,63980.86138613861,1280.960396039604,246.03960396039605,0.44554455445544555,40.13861386138614,14.702970297029703,101,fashion_beauty,0
derintaluu,469264.3020594966,0.01529799771167048,9024.699084668193,661.5823798627002,42.0629290617849,0.07322654462242563,25.956521739130434,14.657894736842104,874,fashion_beauty,1
dervin.com.tr,12707.067178502879,0.025634368522072938,204.16890595009596,16.712092130518233,13.166986564299425,7.980806142034549,244.40992130518234,12.147792706333973,521,business_finance,2
dilanaydanaydin,44292.62903225807,0.028951628870967732,1183.0,48.87903225806452,23.443548387096776,7.483870967741935,60.33870967741935,15.10483870967742,124,lifestyle,2
dilanhocam_cografya,14193.015151515152,0.028475174204545452,223.16287878787878,19.428030303030305,17.011363636363637,2.882575757575758,31.806818181818183,15.571969696969697,264,education,1
donanimarsivi,130838.58870967742,0.036197483790322574,3558.4919354838707,284.10483870967744,90.75806451612904,0.056451612903225805,59.07258064516129,15.048387096774194,124,tech,1
duhabum,70636.61584327086,0.03418555877342419,1894.6039182282793,67.80068143100512,22.471890971039183,2.6499148211243613,32.170357751277685,15.224020442930152,1174,fitness_health,1
duygusacu,186758.08227848102,0.024590174050632914,2956.096518987342,225.72784810126583,28.292721518987342,10.585443037974683,31.273870253164556,13.610759493670885,632,lifestyle,2
dyt.eminolcekci,193393.38036809815,0.02156771165644172,3069.4969325153374,806.1963190184049,30.87116564417178,0.9938650306748467,29.282208588957054,17.54601226993865,163,food_beverage,1
e.a.matematik,21990.292397660818,0.01992224269005848,494.40058479532166,79.21052631578948,6.783625730994152,1.2953216374269005,68.15789473684211,14.461988304093568,342,education,1
ebru.ozelegitim,720407.2463768116,0.029607072463768116,22964.507246376812,464.6811594202899,108.85507246376811,5.884057971014493,43.869565217391305,14.81159420289855,69,education,1
